x_px,y_px
403.637627,144.000000
403.638008,145.000000
403.639148,146.000000
403.641038,147.000000
403.643670,148.000000
403.647036,149.000000
403.651129,150.000000
403.655942,151.000000
403.661465,152.000000
403.667691,153.000000
403.674613,154.000000
403.682222,155.000000
403.690511,156.000000
403.699471,157.000000
403.709096,158.000000
403.719377,159.000000
403.730307,160.000000
403.741877,161.000000
403.754080,162.000000
403.766907,163.000000
403.780352,164.000000
403.794406,165.000000
403.809062,166.000000
403.824311,167.000000
403.840146,168.000000
403.856559,169.000000
403.873542,170.000000
403.891087,171.000000
403.909187,172.000000
403.927833,173.000000
403.947019,174.000000
403.966735,175.000000
403.986974,176.000000
404.007729,177.000000
404.028991,178.000000
404.050753,179.000000
404.073007,180.000000
404.095745,181.000000
404.118959,182.000000
404.142642,183.000000
404.166785,184.000000
404.191380,185.000000
404.216421,186.000000
404.241899,187.000000
404.267806,188.000000
404.294134,189.000000
404.320876,190.000000
404.348024,191.000000
404.375569,192.000000
404.403505,193.000000
404.431823,194.000000
404.460516,195.000000
404.489575,196.000000
404.518993,197.000000
404.548762,198.000000
404.578874,199.000000
404.609321,200.000000
404.640096,201.000000
404.671190,202.000000
404.702597,203.000000
404.734307,204.000000
404.766314,205.000000
404.798609,206.000000
404.831184,207.000000
404.864032,208.000000
404.897145,209.000000
404.930515,210.000000
404.964135,211.000000
404.997995,212.000000
405.032090,213.000000
405.066410,214.000000
405.100948,215.000000
405.135696,216.000000
405.170646,217.000000
405.205791,218.000000
405.241122,219.000000
405.276632,220.000000
405.312313,221.000000
405.348157,222.000000
405.384157,223.000000
405.420303,224.000000
405.456590,225.000000
405.493008,226.000000
405.529551,227.000000
405.566209,228.000000
405.602976,229.000000
405.639843,230.000000
405.676804,231.000000
405.713848,232.000000
405.750970,233.000000
405.788161,234.000000
405.825414,235.000000
405.862720,236.000000
405.900072,237.000000
405.937461,238.000000
405.974881,239.000000
406.012323,240.000000
406.049779,241.000000
406.087242,242.000000
406.124704,243.000000
406.162157,244.000000
406.199592,245.000000
406.237003,246.000000
406.274382,247.000000
406.311720,248.000000
406.349010,249.000000
406.386244,250.000000
406.423414,251.000000
406.460512,252.000000
406.497531,253.000000
406.534462,254.000000
406.571298,255.000000
406.608031,256.000000
406.644654,257.000000
406.681158,258.000000
406.717535,259.000000
406.753778,260.000000
406.789879,261.000000
406.825830,262.000000
406.861623,263.000000
406.897250,264.000000
406.932704,265.000000
406.967977,266.000000
407.003061,267.000000
407.037948,268.000000
407.072630,269.000000
407.107099,270.000000
407.141348,271.000000
407.175369,272.000000
407.209154,273.000000
407.242695,274.000000
407.275984,275.000000
407.309013,276.000000
407.341776,277.000000
407.374263,278.000000
407.406467,279.000000
407.438380,280.000000
407.469995,281.000000
407.501303,282.000000
407.532296,283.000000
407.562968,284.000000
407.593309,285.000000
407.623313,286.000000
407.652971,287.000000
407.682276,288.000000
407.711219,289.000000
407.739794,290.000000
407.767991,291.000000
407.795803,292.000000
407.823223,293.000000
407.850243,294.000000
407.876854,295.000000
407.903049,296.000000
407.928821,297.000000
407.954160,298.000000
407.979060,299.000000
408.003513,300.000000
408.027510,301.000000
408.051044,302.000000
408.074108,303.000000
408.096693,304.000000
408.118791,305.000000
408.140395,306.000000
408.161496,307.000000
408.182088,308.000000
408.202162,309.000000
408.221710,310.000000
408.240725,311.000000
408.259198,312.000000
408.277123,313.000000
408.294490,314.000000
408.311293,315.000000
408.327522,316.000000
408.343172,317.000000
408.358233,318.000000
408.372698,319.000000
408.386559,320.000000
408.399809,321.000000
408.412439,322.000000
408.424441,323.000000
408.435808,324.000000
408.446532,325.000000
408.456605,326.000000
408.466020,327.000000
408.474768,328.000000
408.482841,329.000000
408.490233,330.000000
408.496934,331.000000
408.502938,332.000000
408.508235,333.000000
408.512820,334.000000
408.516683,335.000000
408.519816,336.000000
408.522213,337.000000
408.523865,338.000000
408.524764,339.000000
408.524903,340.000000
408.524274,341.000000
408.522868,342.000000
408.520679,343.000000
408.517698,344.000000
408.513917,345.000000
408.509328,346.000000
408.503925,347.000000
408.497698,348.000000
408.490641,349.000000
408.482744,350.000000
408.474001,351.000000
408.464404,352.000000
408.453945,353.000000
408.442615,354.000000
408.430408,355.000000
408.417314,356.000000
408.403328,357.000000
408.388440,358.000000
408.372642,359.000000
408.355928,360.000000
408.338289,361.000000
408.319717,362.000000
408.297760,363.000000
408.274170,364.000000
408.248962,365.000000
408.222168,366.000000
408.193787,367.000000
408.163864,368.000000
408.132446,369.000000
408.099472,370.000000
408.065048,371.000000
408.029190,372.000000
407.991959,373.000000
407.953415,374.000000
407.913513,375.000000
407.872360,376.000000
407.830017,377.000000
407.786530,378.000000
407.741928,379.000000
407.696320,380.000000
407.649780,381.000000
407.602371,382.000000
407.554123,383.000000
407.505157,384.000000
407.455475,385.000000
407.405258,386.000000
407.354538,387.000000
407.303452,388.000000
407.252045,389.000000
407.200455,390.000000
407.148743,391.000000
407.096970,392.000000
407.045242,393.000000
406.993683,394.000000
