x_px,y_px
465.598694,439.000000
465.598949,440.000000
465.599707,441.000000
465.600959,442.000000
465.602697,443.000000
465.604911,444.000000
465.607592,445.000000
465.610731,446.000000
465.614320,447.000000
465.618348,448.000000
465.622808,449.000000
465.627690,450.000000
465.632985,451.000000
465.638683,452.000000
465.644777,453.000000
465.651256,454.000000
465.658113,455.000000
465.665337,456.000000
465.672920,457.000000
465.680852,458.000000
465.689126,459.000000
465.697731,460.000000
465.706658,461.000000
465.715900,462.000000
465.725445,463.000000
465.735286,464.000000
465.745414,465.000000
465.755819,466.000000
465.766493,467.000000
465.777425,468.000000
465.788609,469.000000
465.800033,470.000000
465.811690,471.000000
465.823569,472.000000
465.835663,473.000000
465.847962,474.000000
465.860458,475.000000
465.873140,476.000000
465.886000,477.000000
465.899029,478.000000
465.912218,479.000000
465.925558,480.000000
465.939040,481.000000
465.952655,482.000000
465.966393,483.000000
465.980247,484.000000
465.994205,485.000000
466.008261,486.000000
466.022404,487.000000
466.036626,488.000000
466.050917,489.000000
466.065269,490.000000
466.079672,491.000000
466.094118,492.000000
466.108597,493.000000
466.123100,494.000000
466.137619,495.000000
466.152144,496.000000
466.166667,497.000000
466.181177,498.000000
466.195667,499.000000
466.210126,500.000000
466.224547,501.000000
466.238920,502.000000
466.253236,503.000000
466.267486,504.000000
466.281661,505.000000
466.295752,506.000000
466.309749,507.000000
466.323645,508.000000
466.337429,509.000000
466.351093,510.000000
466.364628,511.000000
466.378024,512.000000
466.391273,513.000000
466.404365,514.000000
466.417293,515.000000
466.430045,516.000000
466.442614,517.000000
466.454991,518.000000
466.467166,519.000000
466.479130,520.000000
466.490875,521.000000
466.502391,522.000000
466.513669,523.000000
466.524700,524.000000
466.535476,525.000000
466.545987,526.000000
466.556223,527.000000
466.566177,528.000000
466.575839,529.000000
466.585200,530.000000
466.594251,531.000000
466.602983,532.000000
466.611386,533.000000
466.619453,534.000000
466.627173,535.000000
466.634538,536.000000
466.641538,537.000000
466.648166,538.000000
466.654411,539.000000
466.660264,540.000000
466.665718,541.000000
466.670761,542.000000
466.675386,543.000000
466.679584,544.000000
466.683345,545.000000
466.686661,546.000000
466.689521,547.000000
466.691918,548.000000
466.693843,549.000000
466.695285,550.000000
466.696237,551.000000
466.696689,552.000000
466.696632,553.000000
466.696057,554.000000
466.694955,555.000000
466.693317,556.000000
466.691134,557.000000
466.688397,558.000000
466.685097,559.000000
466.681224,560.000000
466.676771,561.000000
466.671727,562.000000
466.666084,563.000000
466.659833,564.000000
466.652964,565.000000
466.645469,566.000000
466.637338,567.000000
466.628563,568.000000
466.619135,569.000000
466.609044,570.000000
466.598281,571.000000
466.586838,572.000000
466.574705,573.000000
466.561873,574.000000
466.548334,575.000000
466.534078,576.000000
466.519096,577.000000
466.503379,578.000000
466.486919,579.000000
466.469705,580.000000
466.451730,581.000000
466.432983,582.000000
466.413457,583.000000
466.393141,584.000000
466.372027,585.000000
466.350106,586.000000
466.327369,587.000000
466.303807,588.000000
466.279410,589.000000
466.254171,590.000000
466.228078,591.000000
466.201125,592.000000
466.173301,593.000000
466.144597,594.000000
466.115005,595.000000
466.084516,596.000000
466.053120,597.000000
466.020808,598.000000
465.987572,599.000000
465.953402,600.000000
465.918289,601.000000
465.882225,602.000000
465.845199,603.000000
465.807204,604.000000
465.768230,605.000000
465.728268,606.000000
465.687309,607.000000
465.645345,608.000000
465.602365,609.000000
465.558361,610.000000
465.513324,611.000000
465.467245,612.000000
465.420114,613.000000
465.371924,614.000000
465.322664,615.000000
465.272326,616.000000
465.220900,617.000000
465.168378,618.000000
465.114751,619.000000
465.060009,620.000000
465.004144,621.000000
464.947146,622.000000
464.889007,623.000000
464.829717,624.000000
464.769268,625.000000
464.707650,626.000000
464.644854,627.000000
464.580871,628.000000
464.515693,629.000000
464.449309,630.000000
464.381712,631.000000
464.312892,632.000000
464.242840,633.000000
464.171547,634.000000
464.099004,635.000000
464.025202,636.000000
463.950132,637.000000
463.873785,638.000000
463.796152,639.000000
463.717223,640.000000
463.636990,641.000000
463.555444,642.000000
463.472575,643.000000
463.388376,644.000000
463.302835,645.000000
463.215946,646.000000
463.127698,647.000000
463.038082,648.000000
462.947090,649.000000
462.854712,650.000000
462.760939,651.000000
462.665763,652.000000
462.569174,653.000000
462.471164,654.000000
462.371722,655.000000
462.270841,656.000000
462.168511,657.000000
462.064723,658.000000
461.959469,659.000000
461.852738,660.000000
461.744522,661.000000
461.634812,662.000000
461.523599,663.000000
461.410874,664.000000
461.296628,665.000000
461.180851,666.000000
461.063536,667.000000
460.944672,668.000000
460.811005,669.000000
460.675781,670.000000
460.539154,671.000000
460.401031,672.000000
460.261444,673.000000
460.120605,674.000000
459.978424,675.000000
459.835114,676.000000
459.690643,677.000000
459.545135,678.000000
459.398590,679.000000
459.251129,680.000000
459.102783,681.000000
458.953674,682.000000
458.803925,683.000000
458.653534,684.000000
458.502594,685.000000
458.351227,686.000000
458.199524,687.000000
458.047546,688.000000
457.895447,689.000000
457.743225,690.000000
457.591156,691.000000
457.439178,692.000000
457.287354,693.000000
457.135803,694.000000
