x_px,y_px
186.298569,171.000000
186.298357,172.000000
186.297716,173.000000
186.296636,174.000000
186.295107,175.000000
186.293120,176.000000
186.290665,177.000000
186.287733,178.000000
186.284313,179.000000
186.280397,180.000000
186.275974,181.000000
186.271036,182.000000
186.265571,183.000000
186.259572,184.000000
186.253028,185.000000
186.245929,186.000000
186.238266,187.000000
186.230030,188.000000
186.221210,189.000000
186.211798,190.000000
186.201783,191.000000
186.191155,192.000000
186.179907,193.000000
186.168026,194.000000
186.155505,195.000000
186.142334,196.000000
186.128502,197.000000
186.114000,198.000000
186.098819,199.000000
186.082949,200.000000
186.066380,201.000000
186.049103,202.000000
186.031108,203.000000
186.012386,204.000000
185.992927,205.000000
185.972721,206.000000
185.951758,207.000000
185.930030,208.000000
185.907526,209.000000
185.884237,210.000000
185.860154,211.000000
185.835266,212.000000
185.809563,213.000000
185.783038,214.000000
185.755679,215.000000
185.727477,216.000000
185.698423,217.000000
185.668507,218.000000
185.637719,219.000000
185.606050,220.000000
185.573490,221.000000
185.540029,222.000000
185.505659,223.000000
185.470368,224.000000
185.434149,225.000000
185.396990,226.000000
185.358883,227.000000
185.319817,228.000000
185.279784,229.000000
185.238773,230.000000
185.196776,231.000000
185.153781,232.000000
185.109781,233.000000
185.064764,234.000000
185.018722,235.000000
184.971645,236.000000
184.923524,237.000000
184.874348,238.000000
184.824108,239.000000
184.772794,240.000000
184.720398,241.000000
184.666908,242.000000
184.606857,243.000000
184.546875,244.000000
184.487053,245.000000
184.427498,246.000000
184.368332,247.000000
184.309624,248.000000
184.251526,249.000000
184.194122,250.000000
184.137527,251.000000
184.081871,252.000000
184.027206,253.000000
183.973679,254.000000
183.921402,255.000000
183.870476,256.000000
183.820976,257.000000
183.773010,258.000000
183.726677,259.000000
183.682068,260.000000
183.639252,261.000000
183.598328,262.000000
183.559349,263.000000
183.522354,264.000000
183.487427,265.000000
183.454613,266.000000
183.423965,267.000000
183.395485,268.000000
183.369194,269.000000
183.345085,270.000000
183.323189,271.000000
183.303459,272.000000
183.285873,273.000000
183.270386,274.000000
183.256943,275.000000
183.245445,276.000000
183.235840,277.000000
183.228043,278.000000
183.221924,279.000000
183.217392,280.000000
183.214256,281.000000
183.212410,282.000000
183.211678,283.000000
183.211929,284.000000
183.212914,285.000000
183.214485,286.000000
183.216423,287.000000
183.218521,288.000000
183.220558,289.000000
183.222321,290.000000
183.223557,291.000000
183.224052,292.000000
183.223564,293.000000
183.221878,294.000000
183.218727,295.000000
183.213875,296.000000
183.207115,297.000000
183.198166,298.000000
183.186829,299.000000
183.172890,300.000000
183.156097,301.000000
183.136292,302.000000
183.113266,303.000000
183.086830,304.000000
183.056831,305.000000
183.023079,306.000000
