x_px,y_px
742.009171,30.000000
742.009948,31.000000
742.012273,32.000000
742.016128,33.000000
742.021500,34.000000
742.028375,35.000000
742.036737,36.000000
742.046571,37.000000
742.057864,38.000000
742.070600,39.000000
742.084764,40.000000
742.100343,41.000000
742.117321,42.000000
742.135683,43.000000
742.155416,44.000000
742.176504,45.000000
742.198932,46.000000
742.222687,47.000000
742.247753,48.000000
742.274115,49.000000
742.301759,50.000000
742.330671,51.000000
742.360835,52.000000
742.392237,53.000000
742.424862,54.000000
742.458695,55.000000
742.493723,56.000000
742.529929,57.000000
742.567301,58.000000
742.605821,59.000000
742.645477,60.000000
742.686254,61.000000
742.728136,62.000000
742.771109,63.000000
742.815159,64.000000
742.860271,65.000000
742.906429,66.000000
742.953620,67.000000
743.001829,68.000000
743.051040,69.000000
743.101240,70.000000
743.152414,71.000000
743.204546,72.000000
743.257623,73.000000
743.311630,74.000000
743.366551,75.000000
743.422373,76.000000
743.479080,77.000000
743.536658,78.000000
743.595093,79.000000
743.654369,80.000000
743.714472,81.000000
743.775387,82.000000
743.837100,83.000000
743.899595,84.000000
743.962859,85.000000
744.026876,86.000000
744.091632,87.000000
744.157112,88.000000
744.223301,89.000000
744.290185,90.000000
744.357750,91.000000
744.425979,92.000000
744.494860,93.000000
744.564376,94.000000
744.634514,95.000000
744.705259,96.000000
744.776596,97.000000
744.848510,98.000000
744.920986,99.000000
744.994011,100.000000
745.067569,101.000000
745.141645,102.000000
745.216226,103.000000
745.291296,104.000000
745.366840,105.000000
745.442844,106.000000
745.519294,107.000000
745.596174,108.000000
745.673470,109.000000
745.751167,110.000000
745.829251,111.000000
745.907706,112.000000
745.986519,113.000000
746.065674,114.000000
746.145157,115.000000
746.224953,116.000000
746.305048,117.000000
746.385426,118.000000
746.466073,119.000000
746.546975,120.000000
746.628117,121.000000
746.709483,122.000000
746.791060,123.000000
746.872833,124.000000
746.954787,125.000000
747.036907,126.000000
747.119179,127.000000
747.201587,128.000000
747.284118,129.000000
747.366757,130.000000
747.449489,131.000000
747.532298,132.000000
747.615172,133.000000
747.698094,134.000000
747.781051,135.000000
747.864027,136.000000
747.947008,137.000000
748.029980,138.000000
748.112926,139.000000
748.195834,140.000000
748.278688,141.000000
748.361473,142.000000
748.444175,143.000000
748.526779,144.000000
748.609271,145.000000
748.691636,146.000000
748.773858,147.000000
748.855924,148.000000
748.937819,149.000000
749.019528,150.000000
749.101036,151.000000
749.182329,152.000000
749.263392,153.000000
749.344210,154.000000
749.424769,155.000000
749.505054,156.000000
749.585050,157.000000
749.664743,158.000000
749.744117,159.000000
749.823160,160.000000
749.901854,161.000000
749.980187,162.000000
750.058143,163.000000
750.135707,164.000000
750.212865,165.000000
750.289603,166.000000
750.365905,167.000000
750.441757,168.000000
750.517144,169.000000
750.592051,170.000000
750.666464,171.000000
750.740369,172.000000
750.813750,173.000000
750.886592,174.000000
750.958882,175.000000
751.030604,176.000000
751.101744,177.000000
751.172287,178.000000
751.242219,179.000000
751.311524,180.000000
751.380188,181.000000
751.448196,182.000000
751.515535,183.000000
751.582188,184.000000
751.648141,185.000000
751.713380,186.000000
751.777890,187.000000
751.841657,188.000000
751.904665,189.000000
751.966899,190.000000
752.028346,191.000000
752.088991,192.000000
752.148819,193.000000
752.207814,194.000000
752.265964,195.000000
752.323252,196.000000
752.379664,197.000000
752.435186,198.000000
752.489802,199.000000
752.543499,200.000000
752.596261,201.000000
752.648074,202.000000
