x_px,y_px
778.292419,0.000000
778.292047,1.000000
778.290929,2.000000
778.289064,3.000000
778.286452,4.000000
778.283091,5.000000
778.278980,6.000000
778.274118,7.000000
778.268504,8.000000
778.262137,9.000000
778.255016,10.000000
778.247139,11.000000
778.238506,12.000000
778.229116,13.000000
778.218967,14.000000
778.208059,15.000000
778.196390,16.000000
778.183959,17.000000
778.170765,18.000000
778.156808,19.000000
778.142085,20.000000
778.126597,21.000000
778.110341,22.000000
778.093317,23.000000
778.075524,24.000000
778.056961,25.000000
778.037626,26.000000
778.017518,27.000000
777.996637,28.000000
777.974981,29.000000
777.952550,30.000000
777.929342,31.000000
777.905355,32.000000
777.880590,33.000000
777.855045,34.000000
777.828718,35.000000
777.801609,36.000000
777.773717,37.000000
777.745041,38.000000
777.715579,39.000000
777.685331,40.000000
777.654294,41.000000
777.622470,42.000000
777.589855,43.000000
777.556450,44.000000
777.522252,45.000000
777.487262,46.000000
777.451478,47.000000
777.414898,48.000000
777.377522,49.000000
777.339349,50.000000
777.300377,51.000000
777.260606,52.000000
777.220034,53.000000
777.178661,54.000000
777.136485,55.000000
777.093505,56.000000
777.049720,57.000000
777.005129,58.000000
776.959732,59.000000
776.913526,60.000000
776.866511,61.000000
776.818685,62.000000
776.770049,63.000000
776.720599,64.000000
776.670337,65.000000
776.619259,66.000000
776.567367,67.000000
776.514657,68.000000
776.461129,69.000000
776.406783,70.000000
776.351617,71.000000
776.295629,72.000000
776.238820,73.000000
776.181187,74.000000
776.122730,75.000000
776.063447,76.000000
776.003338,77.000000
775.942402,78.000000
775.880637,79.000000
775.818042,80.000000
775.754616,81.000000
775.690359,82.000000
775.625268,83.000000
775.559344,84.000000
775.492585,85.000000
775.424989,86.000000
775.356556,87.000000
775.287285,88.000000
775.217175,89.000000
775.146223,90.000000
775.074431,91.000000
775.001796,92.000000
774.928317,93.000000
774.853993,94.000000
774.778823,95.000000
774.702807,96.000000
774.625942,97.000000
774.548228,98.000000
774.469665,99.000000
774.390249,100.000000
774.309982,101.000000
774.228861,102.000000
774.146886,103.000000
774.064055,104.000000
773.980367,105.000000
773.895822,106.000000
773.810417,107.000000
773.724153,108.000000
773.637028,109.000000
773.549041,110.000000
773.460191,111.000000
773.370476,112.000000
773.279897,113.000000
773.188451,114.000000
773.096137,115.000000
773.002955,116.000000
772.908903,117.000000
772.813981,118.000000
772.718187,119.000000
772.621520,120.000000
772.523979,121.000000
772.425563,122.000000
772.326271,123.000000
772.226102,124.000000
772.125055,125.000000
772.023128,126.000000
771.920321,127.000000
771.816632,128.000000
771.712061,129.000000
771.606607,130.000000
771.500267,131.000000
771.393042,132.000000
771.284930,133.000000
771.175930,134.000000
771.066041,135.000000
770.955262,136.000000
770.843592,137.000000
770.731029,138.000000
