x_px,y_px
562.471695,653.000000
562.471731,654.000000
562.471838,655.000000
562.472012,656.000000
562.472250,657.000000
562.472550,658.000000
562.472909,659.000000
562.473323,660.000000
562.473790,661.000000
562.474306,662.000000
562.474870,663.000000
562.475477,664.000000
562.476125,665.000000
562.476810,666.000000
562.477531,667.000000
562.478284,668.000000
562.479066,669.000000
562.479874,670.000000
562.480705,671.000000
562.481556,672.000000
562.482425,673.000000
562.483308,674.000000
562.484202,675.000000
562.485104,676.000000
562.486012,677.000000
562.486922,678.000000
562.487832,679.000000
562.488739,680.000000
562.489639,681.000000
562.490529,682.000000
562.491408,683.000000
562.492271,684.000000
562.493116,685.000000
562.493940,686.000000
562.494739,687.000000
562.495512,688.000000
562.496255,689.000000
562.496964,690.000000
562.497638,691.000000
562.498273,692.000000
562.498866,693.000000
562.499414,694.000000
562.499914,695.000000
562.500364,696.000000
562.500760,697.000000
562.501100,698.000000
562.501380,699.000000
562.501598,700.000000
562.501750,701.000000
562.501833,702.000000
562.501846,703.000000
562.501784,704.000000
562.501645,705.000000
562.501425,706.000000
562.501123,707.000000
562.500734,708.000000
562.500256,709.000000
562.499686,710.000000
562.499022,711.000000
562.498259,712.000000
562.497395,713.000000
562.496428,714.000000
562.495354,715.000000
562.494170,716.000000
562.492873,717.000000
562.491461,718.000000
562.489930,719.000000
562.488277,720.000000
562.486500,721.000000
562.484596,722.000000
562.482561,723.000000
562.480393,724.000000
562.478088,725.000000
562.475645,726.000000
562.473058,727.000000
562.470327,728.000000
562.467448,729.000000
562.464418,730.000000
562.461233,731.000000
562.457892,732.000000
562.454390,733.000000
562.450726,734.000000
562.446896,735.000000
562.442897,736.000000
562.438727,737.000000
562.434381,738.000000
562.429858,739.000000
562.425155,740.000000
562.420267,741.000000
562.415194,742.000000
562.409931,743.000000
562.404475,744.000000
562.398824,745.000000
562.392975,746.000000
562.386924,747.000000
562.380669,748.000000
562.374208,749.000000
562.367535,750.000000
562.360650,751.000000
562.353549,752.000000
562.346229,753.000000
562.338687,754.000000
562.330919,755.000000
562.322925,756.000000
562.314699,757.000000
562.306239,758.000000
562.297543,759.000000
562.288607,760.000000
562.279429,761.000000
562.270005,762.000000
562.260332,763.000000
562.250408,764.000000
562.240229,765.000000
562.229793,766.000000
562.219097,767.000000
562.208138,768.000000
562.196912,769.000000
562.185417,770.000000
562.173650,771.000000
562.161608,772.000000
562.149287,773.000000
562.136686,774.000000
562.123801,775.000000
562.110629,776.000000
562.097167,777.000000
562.083412,778.000000
562.069361,779.000000
562.055012,780.000000
562.040361,781.000000
562.025405,782.000000
562.010142,783.000000
561.994569,784.000000
561.978681,785.000000
561.962478,786.000000
561.945955,787.000000
561.929109,788.000000
561.911939,789.000000
561.894440,790.000000
561.876609,791.000000
561.858445,792.000000
561.839944,793.000000
561.821102,794.000000
561.801918,795.000000
561.782387,796.000000
561.762508,797.000000
561.742277,798.000000
561.721691,799.000000
561.700747,800.000000
561.679442,801.000000
561.657774,802.000000
561.635739,803.000000
561.613335,804.000000
561.590557,805.000000
561.567405,806.000000
561.543874,807.000000
561.519962,808.000000
561.495665,809.000000
561.470981,810.000000
561.445906,811.000000
561.420439,812.000000
561.394575,813.000000
561.368312,814.000000
561.341647,815.000000
561.314578,816.000000
561.287100,817.000000
561.259211,818.000000
561.230908,819.000000
561.202189,820.000000
561.173049,821.000000
561.143487,822.000000
561.113499,823.000000
561.083083,824.000000
561.052235,825.000000
561.020952,826.000000
560.989232,827.000000
560.957072,828.000000
560.924468,829.000000
560.891417,830.000000
560.857918,831.000000
560.823966,832.000000
560.789559,833.000000
560.754694,834.000000
560.719367,835.000000
560.683577,836.000000
560.647319,837.000000
560.610591,838.000000
560.573391,839.000000
560.535715,840.000000
560.497559,841.000000
560.458922,842.000000
560.419801,843.000000
560.380191,844.000000
560.340091,845.000000
560.299497,846.000000
560.258407,847.000000
560.216817,848.000000
560.174725,849.000000
560.132127,850.000000
560.089021,851.000000
560.045404,852.000000
560.001272,853.000000
559.956623,854.000000
559.911454,855.000000
559.865762,856.000000
559.819543,857.000000
559.772796,858.000000
559.725517,859.000000
559.677702,860.000000
559.629350,861.000000
559.580457,862.000000
559.531020,863.000000
559.481037,864.000000
559.430503,865.000000
559.379417,866.000000
559.327776,867.000000
559.275575,868.000000
559.222814,869.000000
559.169487,870.000000
559.115594,871.000000
559.061130,872.000000
559.006092,873.000000
558.950479,874.000000
558.894286,875.000000
558.837511,876.000000
558.780150,877.000000
558.722202,878.000000
558.663663,879.000000
558.604529,880.000000
558.544799,881.000000
558.484468,882.000000
558.423535,883.000000
558.361996,884.000000
558.299849,885.000000
558.237089,886.000000
558.173715,887.000000
558.109723,888.000000
558.045111,889.000000
557.979875,890.000000
557.914013,891.000000
557.847521,892.000000
557.780397,893.000000
557.712637,894.000000
557.644239,895.000000
557.575200,896.000000
557.505517,897.000000
557.435186,898.000000
557.364206,899.000000
557.292572,900.000000
