x_px,y_px
682.931458,259.000000
682.931575,260.000000
682.931919,261.000000
682.932474,262.000000
682.933227,263.000000
682.934162,264.000000
682.935266,265.000000
682.936524,266.000000
682.937922,267.000000
682.939446,268.000000
682.941081,269.000000
682.942813,270.000000
682.944627,271.000000
682.946510,272.000000
682.948447,273.000000
682.950423,274.000000
682.952425,275.000000
682.954437,276.000000
682.956446,277.000000
682.958438,278.000000
682.960397,279.000000
682.962310,280.000000
682.964162,281.000000
682.965939,282.000000
682.967627,283.000000
682.969211,284.000000
682.970677,285.000000
682.972011,286.000000
682.973197,287.000000
682.974223,288.000000
682.975074,289.000000
682.975734,290.000000
682.976191,291.000000
682.976429,292.000000
682.976435,293.000000
682.976193,294.000000
682.975690,295.000000
682.974912,296.000000
682.973843,297.000000
682.972470,298.000000
682.970779,299.000000
682.968754,300.000000
682.966382,301.000000
682.963648,302.000000
682.960538,303.000000
682.957038,304.000000
682.953133,305.000000
682.948809,306.000000
682.944052,307.000000
682.938847,308.000000
682.933180,309.000000
682.927037,310.000000
682.920403,311.000000
682.913264,312.000000
682.905606,313.000000
682.897414,314.000000
682.888674,315.000000
682.879371,316.000000
682.869492,317.000000
682.859022,318.000000
682.847947,319.000000
682.836251,320.000000
682.823922,321.000000
682.810945,322.000000
682.797305,323.000000
682.782988,324.000000
682.767979,325.000000
682.752265,326.000000
682.735831,327.000000
682.718663,328.000000
682.700746,329.000000
682.682065,330.000000
682.662608,331.000000
682.642359,332.000000
682.621304,333.000000
682.599429,334.000000
682.576719,335.000000
682.553159,336.000000
682.528737,337.000000
682.503437,338.000000
682.477245,339.000000
682.450147,340.000000
682.422128,341.000000
682.393174,342.000000
682.363271,343.000000
682.332404,344.000000
682.300559,345.000000
682.267722,346.000000
682.233878,347.000000
682.199014,348.000000
682.163114,349.000000
682.126164,350.000000
682.088150,351.000000
682.049059,352.000000
682.008874,353.000000
681.967582,354.000000
681.925170,355.000000
681.881621,356.000000
681.836923,357.000000
681.791060,358.000000
681.744019,359.000000
681.695785,360.000000
681.646343,361.000000
681.595680,362.000000
681.543781,363.000000
681.490632,364.000000
681.436218,365.000000
681.380525,366.000000
681.323539,367.000000
681.265245,368.000000
681.205629,369.000000
681.144677,370.000000
681.082375,371.000000
681.018707,372.000000
680.953660,373.000000
680.887220,374.000000
680.819371,375.000000
680.750101,376.000000
680.679394,377.000000
680.607236,378.000000
680.533612,379.000000
680.458509,380.000000
680.381912,381.000000
680.303807,382.000000
680.224180,383.000000
680.143015,384.000000
680.060299,385.000000
679.976017,386.000000
679.890156,387.000000
679.802700,388.000000
679.713636,389.000000
679.622949,390.000000
679.530625,391.000000
679.436649,392.000000
679.341007,393.000000
679.243685,394.000000
679.144668,395.000000
679.043943,396.000000
678.941494,397.000000
678.837308,398.000000
678.731369,399.000000
678.623665,400.000000
678.514180,401.000000
678.402900,402.000000
678.289811,403.000000
678.174898,404.000000
678.058147,405.000000
677.939544,406.000000
677.819075,407.000000
677.696725,408.000000
677.572479,409.000000
677.446324,410.000000
677.318245,411.000000
677.188228,412.000000
677.056259,413.000000
676.922322,414.000000
676.786404,415.000000
676.648491,416.000000
676.508568,417.000000
676.366620,418.000000
676.222635,419.000000
676.076596,420.000000
675.928490,421.000000
675.778302,422.000000
675.626019,423.000000
675.471625,424.000000
675.315107,425.000000
675.156450,426.000000
674.995640,427.000000
674.832662,428.000000
674.667503,429.000000
674.500147,430.000000
674.330581,431.000000
674.158790,432.000000
673.984759,433.000000
673.808476,434.000000
673.629924,435.000000
673.449090,436.000000
673.265960,437.000000
673.080519,438.000000
672.892752,439.000000
672.702646,440.000000
672.510187,441.000000
672.315359,442.000000
672.118148,443.000000
671.918541,444.000000
671.716523,445.000000
671.512079,446.000000
671.305195,447.000000
671.095857,448.000000
670.884051,449.000000
670.669762,450.000000
670.452975,451.000000
670.233678,452.000000
670.011854,453.000000
669.787490,454.000000
669.560572,455.000000
669.331085,456.000000
669.099014,457.000000
668.864347,458.000000
668.627067,459.000000
668.387161,460.000000
668.144615,461.000000
667.899414,462.000000
667.623749,463.000000
667.344574,464.000000
667.061951,465.000000
666.775909,466.000000
666.486389,467.000000
666.193512,468.000000
665.897400,469.000000
665.597992,470.000000
665.295441,471.000000
664.989655,472.000000
664.680786,473.000000
664.368896,474.000000
664.054047,475.000000
663.736298,476.000000
663.415741,477.000000
663.092346,478.000000
662.766205,479.000000
662.437378,480.000000
662.105896,481.000000
661.771820,482.000000
661.435181,483.000000
661.096039,484.000000
660.754303,485.000000
660.410065,486.000000
660.063324,487.000000
659.714020,488.000000
659.362183,489.000000
659.007690,490.000000
658.650543,491.000000
658.290771,492.000000
657.928070,493.000000
657.562592,494.000000
657.194092,495.000000
656.822449,496.000000
656.447571,497.000000
656.069275,498.000000
655.687378,499.000000
655.301819,500.000000
654.912354,501.000000
654.518707,502.000000
654.120758,503.000000
653.718353,504.000000
653.311157,505.000000
652.898956,506.000000
652.481537,507.000000
652.058716,508.000000
651.630127,509.000000
651.195648,510.000000
650.754974,511.000000
650.307831,512.000000
649.853912,513.000000
649.393127,514.000000
648.925201,515.000000
648.449860,516.000000
647.966888,517.000000
647.476135,518.000000
646.977417,519.000000
646.470398,520.000000
645.954956,521.000000
645.430878,522.000000
644.898071,523.000000
644.356415,524.000000
643.805695,525.000000
643.245789,526.000000
642.676666,527.000000
642.098145,528.000000
641.510254,529.000000
640.912872,530.000000
640.305969,531.000000
639.689575,532.000000
639.063507,533.000000
638.428040,534.000000
637.782867,535.000000
637.128296,536.000000
636.464203,537.000000
635.790741,538.000000
635.107880,539.000000
634.415680,540.000000
633.714294,541.000000
633.003876,542.000000
632.284485,543.000000
631.556274,544.000000
630.819305,545.000000
630.073761,546.000000
629.319824,547.000000
628.557556,548.000000
627.787201,549.000000
627.008911,550.000000
626.222748,551.000000
625.429016,552.000000
624.627869,553.000000
623.819580,554.000000
623.004181,555.000000
622.182007,556.000000
621.353210,557.000000
620.518066,558.000000
619.676697,559.000000
618.829407,560.000000
617.976349,561.000000
617.117828,562.000000
616.254028,563.000000
615.385254,564.000000
