x_px,y_px
184.119759,62.000000
184.118475,63.000000
184.114580,64.000000
184.108005,65.000000
184.098683,66.000000
184.086548,67.000000
184.071530,68.000000
184.053563,69.000000
184.032580,70.000000
184.008513,71.000000
183.981294,72.000000
183.950856,73.000000
183.917132,74.000000
183.880054,75.000000
183.839555,76.000000
183.795567,77.000000
183.748022,78.000000
183.696854,79.000000
183.641995,80.000000
183.583378,81.000000
183.520934,82.000000
183.454597,83.000000
183.384300,84.000000
183.309973,85.000000
183.231551,86.000000
183.148966,87.000000
183.062150,88.000000
182.971036,89.000000
182.875557,90.000000
182.775644,91.000000
182.671231,92.000000
182.562250,93.000000
182.448634,94.000000
182.330315,95.000000
182.207225,96.000000
182.079298,97.000000
181.946466,98.000000
181.808661,99.000000
181.665816,100.000000
181.517863,101.000000
181.364736,102.000000
181.206366,103.000000
181.042686,104.000000
180.873629,105.000000
180.699127,106.000000
180.519113,107.000000
180.333519,108.000000
180.142279,109.000000
179.945323,110.000000
179.742586,111.000000
179.533999,112.000000
179.319496,113.000000
179.099008,114.000000
178.872468,115.000000
178.639809,116.000000
178.400963,117.000000
178.155863,118.000000
177.904442,119.000000
177.619514,120.000000
177.330635,121.000000
177.037910,122.000000
176.741417,123.000000
176.441231,124.000000
176.137451,125.000000
175.830162,126.000000
175.519501,127.000000
175.205521,128.000000
174.888336,129.000000
174.568047,130.000000
174.244705,131.000000
173.918449,132.000000
173.589348,133.000000
173.257523,134.000000
172.923019,135.000000
172.585945,136.000000
172.246384,137.000000
171.904442,138.000000
171.560188,139.000000
171.213699,140.000000
170.865059,141.000000
170.514355,142.000000
170.161652,143.000000
169.807049,144.000000
169.450615,145.000000
169.092430,146.000000
168.732555,147.000000
168.371071,148.000000
168.008038,149.000000
167.643532,150.000000
167.277626,151.000000
166.910385,152.000000
166.541859,153.000000
166.172123,154.000000
165.801231,155.000000
165.429245,156.000000
165.056221,157.000000
164.682217,158.000000
164.307281,159.000000
163.931477,160.000000
163.554836,161.000000
163.177410,162.000000
162.799240,163.000000
162.420368,164.000000
162.040836,165.000000
161.660686,166.000000
161.279953,167.000000
160.898678,168.000000
160.516884,169.000000
160.134609,170.000000
159.751884,171.000000
159.368732,172.000000
158.985188,173.000000
158.601265,174.000000
158.217014,175.000000
157.832447,176.000000
157.447601,177.000000
157.062508,178.000000
156.677204,179.000000
156.291702,180.000000
155.906052,181.000000
155.520287,182.000000
155.134457,183.000000
154.748585,184.000000
154.362747,185.000000
153.976974,186.000000
153.591347,187.000000
153.205902,188.000000
152.820728,189.000000
152.435902,190.000000
152.051491,191.000000
151.667606,192.000000
151.284321,193.000000
150.901756,194.000000
150.520020,195.000000
150.139233,196.000000
149.759529,197.000000
149.381027,198.000000
149.003895,199.000000
148.628292,200.000000
148.254375,201.000000
147.882328,202.000000
147.512318,203.000000
147.144547,204.000000
146.779228,205.000000
146.416542,206.000000
146.056744,207.000000
145.700050,208.000000
145.346714,209.000000
144.996956,210.000000
144.651054,211.000000
144.309269,212.000000
143.971863,213.000000
143.639122,214.000000
143.311340,215.000000
142.988811,216.000000
142.671848,217.000000
142.360760,218.000000
142.055870,219.000000
141.757500,220.000000
141.465996,221.000000
141.181694,222.000000
140.904945,223.000000
140.636105,224.000000
140.375542,225.000000
140.123627,226.000000
139.880737,227.000000
139.647255,228.000000
139.423576,229.000000
139.210098,230.000000
139.007225,231.000000
138.815365,232.000000
138.634941,233.000000
138.466377,234.000000
138.310091,235.000000
138.166517,236.000000
138.036106,237.000000
137.919291,238.000000
137.816525,239.000000
137.728256,240.000000
137.654936,241.000000
137.597031,242.000000
137.554989,243.000000
137.529278,244.000000
137.520351,245.000000
137.528675,246.000000
137.554710,247.000000
137.598907,248.000000
137.661728,249.000000
137.743628,250.000000
137.845045,251.000000
137.966431,252.000000
138.108212,253.000000
138.270823,254.000000
138.454681,255.000000
138.660202,256.000000
138.887785,257.000000
139.137825,258.000000
139.410690,259.000000
139.706749,260.000000
140.026360,261.000000
140.369858,262.000000
140.737568,263.000000
141.129799,264.000000
141.546837,265.000000
141.988972,266.000000
142.456451,267.000000
142.949528,268.000000
143.468422,269.000000
144.013329,270.000000
144.584450,271.000000
145.181961,272.000000
145.806000,273.000000
146.456718,274.000000
147.134220,275.000000
147.838608,276.000000
148.569958,277.000000
149.328327,278.000000
150.113770,279.000000
150.926300,280.000000
151.765911,281.000000
152.632610,282.000000
153.526348,283.000000
154.447075,284.000000
155.394714,285.000000
156.369167,286.000000
157.370327,287.000000
158.398064,288.000000
159.452209,289.000000
160.532600,290.000000
161.639011,291.000000
162.771240,292.000000
163.929028,293.000000
165.112114,294.000000
166.320187,295.000000
167.552937,296.000000
168.810017,297.000000
170.091057,298.000000
171.395653,299.000000
172.723396,300.000000
174.073814,301.000000
175.446411,302.000000
176.840706,303.000000
178.256142,304.000000
179.692192,305.000000
181.148224,306.000000
182.623634,307.000000
184.117767,308.000000
185.629936,309.000000
187.159470,310.000000
188.705627,311.000000
190.267647,312.000000
191.844765,313.000000
193.436165,314.000000
195.041054,315.000000
196.658569,316.000000
198.287872,317.000000
199.928085,318.000000
201.578316,319.000000
203.237679,320.000000
204.905235,321.000000
206.580055,322.000000
208.261215,323.000000
209.947762,324.000000
211.638741,325.000000
213.333214,326.000000
215.030220,327.000000
216.728813,328.000000
218.428024,329.000000
220.126884,330.000000
221.824478,331.000000
223.519814,332.000000
225.211990,333.000000
226.900063,334.000000
228.583138,335.000000
230.260269,336.000000
231.930557,337.000000
233.593102,338.000000
235.247025,339.000000
236.891464,340.000000
238.525574,341.000000
240.148499,342.000000
241.759415,343.000000
243.357544,344.000000
244.942032,345.000000
246.512115,346.000000
248.067062,347.000000
249.606110,348.000000
251.128494,349.000000
252.633499,350.000000
254.120453,351.000000
255.588654,352.000000
257.037460,353.000000
258.466232,354.000000
259.874298,355.000000
261.261063,356.000000
262.625916,357.000000
263.968277,358.000000
265.287582,359.000000
266.583328,360.000000
267.854980,361.000000
269.102020,362.000000
270.323944,363.000000
271.520279,364.000000
272.690582,365.000000
273.834335,366.000000
274.951279,367.000000
276.040894,368.000000
277.102859,369.000000
278.136780,370.000000
279.142303,371.000000
280.119110,372.000000
281.066910,373.000000
281.985413,374.000000
282.874283,375.000000
283.733307,376.000000
284.562271,377.000000
285.360947,378.000000
286.129105,379.000000
286.866547,380.000000
287.573166,381.000000
288.248779,382.000000
288.893295,383.000000
289.506546,384.000000
290.088501,385.000000
290.639038,386.000000
291.158112,387.000000
291.645706,388.000000
292.101746,389.000000
292.526245,390.000000
292.919250,391.000000
293.280716,392.000000
293.610764,393.000000
293.909439,394.000000
294.176788,395.000000
294.412994,396.000000
294.618088,397.000000
294.792236,398.000000
294.935623,399.000000
295.048386,400.000000
295.130707,401.000000
295.182785,402.000000
295.204865,403.000000
295.197174,404.000000
295.159988,405.000000
295.093582,406.000000
294.998230,407.000000
294.874313,408.000000
294.722122,409.000000
294.542007,410.000000
294.334381,411.000000
294.099594,412.000000
293.838120,413.000000
293.550354,414.000000
293.236725,415.000000
292.897781,416.000000
292.533997,417.000000
292.145874,418.000000
291.733963,419.000000
291.298843,420.000000
290.841110,421.000000
290.361359,422.000000
289.860168,423.000000
289.338226,424.000000
288.796265,425.000000
288.234909,426.000000
287.654877,427.000000
287.056885,428.000000
286.441666,429.000000
285.810043,430.000000
285.162781,431.000000
284.500702,432.000000
283.824570,433.000000
283.135223,434.000000
282.433502,435.000000
281.720245,436.000000
280.996384,437.000000
280.262711,438.000000
279.520142,439.000000
278.769547,440.000000
278.011765,441.000000
277.247757,442.000000
276.478333,443.000000
275.704468,444.000000
274.926956,445.000000
274.146667,446.000000
273.364456,447.000000
272.581253,448.000000
271.797775,449.000000
271.014908,450.000000
270.233475,451.000000
269.454224,452.000000
268.677933,453.000000
267.905304,454.000000
267.137100,455.000000
266.374023,456.000000
265.616699,457.000000
264.865814,458.000000
264.121948,459.000000
263.385712,460.000000
262.657684,461.000000
261.938309,462.000000
261.228149,463.000000
260.527664,464.000000
259.837234,465.000000
259.157288,466.000000
258.488205,467.000000
257.830307,468.000000
257.183884,469.000000
256.549240,470.000000
255.926620,471.000000
255.316177,472.000000
254.718170,473.000000
254.132706,474.000000
253.559921,475.000000
252.999893,476.000000
252.452713,477.000000
251.918457,478.000000
251.397156,479.000000
250.888794,480.000000
250.393387,481.000000
249.960161,482.000000
249.540456,483.000000
