x_px,y_px
823.120903,216.000000
823.121134,217.000000
823.121825,218.000000
823.122972,219.000000
823.124573,220.000000
823.126624,221.000000
823.129121,222.000000
823.132061,223.000000
823.135441,224.000000
823.139257,225.000000
823.143506,226.000000
823.148185,227.000000
823.153291,228.000000
823.158819,229.000000
823.164767,230.000000
823.171132,231.000000
823.177909,232.000000
823.185097,233.000000
823.192690,234.000000
823.200686,235.000000
823.209082,236.000000
823.217874,237.000000
823.227059,238.000000
823.236634,239.000000
823.246595,240.000000
823.256938,241.000000
823.267661,242.000000
823.278760,243.000000
823.290232,244.000000
823.302073,245.000000
823.314281,246.000000
823.326851,247.000000
823.339780,248.000000
823.353066,249.000000
823.366704,250.000000
823.380692,251.000000
823.395025,252.000000
823.409701,253.000000
823.424717,254.000000
823.440068,255.000000
823.455752,256.000000
823.471765,257.000000
823.488104,258.000000
823.504765,259.000000
823.521746,260.000000
823.539043,261.000000
823.556652,262.000000
823.574570,263.000000
823.592793,264.000000
823.611320,265.000000
823.630145,266.000000
823.649266,267.000000
823.668680,268.000000
823.688382,269.000000
823.708370,270.000000
823.728641,271.000000
823.749190,272.000000
823.770015,273.000000
823.791112,274.000000
823.812479,275.000000
823.834110,276.000000
823.856004,277.000000
823.878157,278.000000
823.900566,279.000000
823.923226,280.000000
823.946136,281.000000
823.969290,282.000000
823.992687,283.000000
824.016323,284.000000
824.040194,285.000000
824.064297,286.000000
824.088629,287.000000
824.113187,288.000000
824.137966,289.000000
824.162964,290.000000
824.188177,291.000000
824.213602,292.000000
824.239236,293.000000
824.265075,294.000000
824.291116,295.000000
824.317356,296.000000
824.343791,297.000000
824.370418,298.000000
824.397233,299.000000
824.424233,300.000000
824.451415,301.000000
824.478776,302.000000
824.506312,303.000000
824.534019,304.000000
824.561895,305.000000
824.589936,306.000000
824.618139,307.000000
824.646500,308.000000
824.675016,309.000000
824.703684,310.000000
824.732500,311.000000
824.761461,312.000000
824.790563,313.000000
824.819804,314.000000
824.849180,315.000000
824.878687,316.000000
824.908323,317.000000
824.938083,318.000000
824.967965,319.000000
824.997965,320.000000
825.028080,321.000000
825.058307,322.000000
825.088641,323.000000
825.119080,324.000000
825.149621,325.000000
825.180259,326.000000
825.210993,327.000000
825.241818,328.000000
825.272730,329.000000
825.303728,330.000000
825.334807,331.000000
825.365963,332.000000
825.397194,333.000000
825.428497,334.000000
825.459867,335.000000
825.491302,336.000000
825.522799,337.000000
825.554353,338.000000
825.585961,339.000000
825.617621,340.000000
825.649329,341.000000
825.681080,342.000000
825.712874,343.000000
825.744704,344.000000
825.776570,345.000000
825.808466,346.000000
825.840390,347.000000
825.872338,348.000000
825.904308,349.000000
825.936295,350.000000
825.968296,351.000000
826.000308,352.000000
826.032328,353.000000
826.064352,354.000000
826.096377,355.000000
826.128400,356.000000
826.160417,357.000000
826.192424,358.000000
826.224419,359.000000
826.256399,360.000000
826.288359,361.000000
826.320296,362.000000
826.352208,363.000000
826.384090,364.000000
826.415940,365.000000
826.447754,366.000000
826.479528,367.000000
826.511260,368.000000
826.542946,369.000000
826.574583,370.000000
826.606166,371.000000
826.637694,372.000000
826.669163,373.000000
826.700568,374.000000
826.731908,375.000000
826.763178,376.000000
826.794375,377.000000
826.825496,378.000000
826.856538,379.000000
826.887496,380.000000
826.918369,381.000000
826.949152,382.000000
826.979842,383.000000
827.010436,384.000000
827.040930,385.000000
827.071321,386.000000
827.101606,387.000000
827.131782,388.000000
827.161844,389.000000
827.191790,390.000000
827.221616,391.000000
827.251319,392.000000
827.280896,393.000000
827.310343,394.000000
827.339657,395.000000
827.368835,396.000000
827.397872,397.000000
827.426767,398.000000
827.455515,399.000000
827.484113,400.000000
827.512558,401.000000
827.540846,402.000000
827.568975,403.000000
827.596940,404.000000
827.624739,405.000000
827.652367,406.000000
827.679822,407.000000
827.707101,408.000000
827.734200,409.000000
827.761115,410.000000
827.787844,411.000000
827.814382,412.000000
827.840727,413.000000
827.866876,414.000000
827.892824,415.000000
827.918569,416.000000
827.944107,417.000000
827.969435,418.000000
827.994549,419.000000
828.019446,420.000000
828.044124,421.000000
828.068577,422.000000
828.092804,423.000000
828.116800,424.000000
828.140563,425.000000
828.164089,426.000000
828.187375,427.000000
828.210417,428.000000
828.233212,429.000000
828.255756,430.000000
828.278047,431.000000
828.300081,432.000000
828.321854,433.000000
828.343364,434.000000
828.364606,435.000000
828.385578,436.000000
828.406277,437.000000
828.426698,438.000000
828.446838,439.000000
828.466695,440.000000
828.486264,441.000000
828.505543,442.000000
828.524528,443.000000
828.543216,444.000000
828.561603,445.000000
828.579686,446.000000
828.597462,447.000000
828.614927,448.000000
828.632078,449.000000
828.648912,450.000000
828.665425,451.000000
828.681614,452.000000
828.697476,453.000000
828.713006,454.000000
828.728203,455.000000
828.743062,456.000000
828.757581,457.000000
828.771755,458.000000
828.785581,459.000000
828.799057,460.000000
828.812179,461.000000
828.824943,462.000000
828.837346,463.000000
828.849385,464.000000
828.861056,465.000000
828.872356,466.000000
828.883282,467.000000
828.893830,468.000000
828.903998,469.000000
828.913780,470.000000
828.923176,471.000000
828.932180,472.000000
828.940789,473.000000
828.949001,474.000000
828.956812,475.000000
828.964218,476.000000
828.972473,477.000000
828.981308,478.000000
828.990784,479.000000
829.000961,480.000000
829.011856,481.000000
829.023560,482.000000
829.036118,483.000000
829.049530,484.000000
829.063797,485.000000
829.078979,486.000000
829.095169,487.000000
829.112350,488.000000
829.130569,489.000000
829.149841,490.000000
829.170197,491.000000
829.191635,492.000000
829.214188,493.000000
829.237869,494.000000
829.262680,495.000000
829.288635,496.000000
829.315704,497.000000
829.343933,498.000000
829.373306,499.000000
829.403824,500.000000
829.435486,501.000000
829.468277,502.000000
829.502197,503.000000
829.537140,504.000000
829.573212,505.000000
829.610397,506.000000
829.648605,507.000000
829.687851,508.000000
829.728149,509.000000
829.769440,510.000000
829.811691,511.000000
829.854904,512.000000
829.899048,513.000000
829.944092,514.000000
829.990036,515.000000
830.036880,516.000000
830.084503,517.000000
830.132965,518.000000
830.182159,519.000000
830.232071,520.000000
830.282745,521.000000
830.334122,522.000000
830.386169,523.000000
830.438828,524.000000
830.492035,525.000000
830.545807,526.000000
830.600143,527.000000
830.654999,528.000000
830.710358,529.000000
830.766159,530.000000
830.822357,531.000000
830.878952,532.000000
830.935928,533.000000
830.993256,534.000000
831.050888,535.000000
831.108795,536.000000
831.166946,537.000000
831.225357,538.000000
831.283966,539.000000
831.342804,540.000000
831.401855,541.000000
831.461105,542.000000
831.520493,543.000000
831.580002,544.000000
831.639633,545.000000
831.699478,546.000000
831.759491,547.000000
831.819611,548.000000
831.879822,549.000000
831.940216,550.000000
832.000732,551.000000
832.061417,552.000000
832.122253,553.000000
832.183228,554.000000
832.244446,555.000000
832.305878,556.000000
832.367462,557.000000
832.429321,558.000000
832.491425,559.000000
832.553787,560.000000
832.616409,561.000000
832.679337,562.000000
832.742615,563.000000
832.806213,564.000000
832.870163,565.000000
832.934448,566.000000
832.999130,567.000000
833.064224,568.000000
833.129715,569.000000
833.195618,570.000000
833.261902,571.000000
833.328644,572.000000
833.395782,573.000000
833.463303,574.000000
833.531235,575.000000
833.599564,576.000000
833.668274,577.000000
833.737305,578.000000
833.806702,579.000000
833.876404,580.000000
833.946381,581.000000
834.016602,582.000000
834.087051,583.000000
834.157700,584.000000
834.228455,585.000000
834.299271,586.000000
