x_px,y_px
1039.056122,0.000000
1039.056344,1.000000
1039.057009,2.000000
1039.058112,3.000000
1039.059648,4.000000
1039.061612,5.000000
1039.064001,6.000000
1039.066809,7.000000
1039.070032,8.000000
1039.073665,9.000000
1039.077705,10.000000
1039.082146,11.000000
1039.086984,12.000000
1039.092214,13.000000
1039.097832,14.000000
1039.103834,15.000000
1039.110214,16.000000
1039.116968,17.000000
1039.124093,18.000000
1039.131582,19.000000
1039.139432,20.000000
1039.147638,21.000000
1039.156195,22.000000
1039.165100,23.000000
1039.174347,24.000000
1039.183932,25.000000
1039.193850,26.000000
1039.204097,27.000000
1039.214669,28.000000
1039.225560,29.000000
1039.236767,30.000000
1039.248284,31.000000
1039.260108,32.000000
1039.272233,33.000000
1039.284656,34.000000
1039.297371,35.000000
1039.310374,36.000000
1039.323660,37.000000
1039.337226,38.000000
1039.351066,39.000000
1039.365176,40.000000
1039.379551,41.000000
1039.394188,42.000000
1039.409080,43.000000
1039.424225,44.000000
1039.439616,45.000000
1039.455250,46.000000
1039.471123,47.000000
1039.487229,48.000000
1039.503564,49.000000
1039.520124,50.000000
1039.536904,51.000000
1039.553899,52.000000
1039.571106,53.000000
1039.588519,54.000000
1039.606133,55.000000
1039.623945,56.000000
1039.641950,57.000000
1039.660143,58.000000
1039.678520,59.000000
1039.697077,60.000000
1039.715808,61.000000
1039.734709,62.000000
1039.753775,63.000000
1039.773003,64.000000
1039.792387,65.000000
1039.811924,66.000000
1039.831608,67.000000
1039.851434,68.000000
1039.871400,69.000000
1039.891499,70.000000
1039.911727,71.000000
1039.932080,72.000000
1039.952554,73.000000
1039.973143,74.000000
1039.993844,75.000000
1040.014651,76.000000
1040.035560,77.000000
1040.056567,78.000000
1040.077667,79.000000
1040.098856,80.000000
1040.120128,81.000000
1040.141480,82.000000
1040.162907,83.000000
1040.184404,84.000000
1040.205968,85.000000
1040.227592,86.000000
1040.249273,87.000000
1040.271007,88.000000
1040.292788,89.000000
1040.314613,90.000000
1040.336476,91.000000
1040.358373,92.000000
1040.380300,93.000000
1040.402252,94.000000
1040.424224,95.000000
1040.446213,96.000000
1040.468212,97.000000
1040.490219,98.000000
1040.512228,99.000000
1040.534235,100.000000
1040.556235,101.000000
1040.578224,102.000000
1040.600198,103.000000
1040.622151,104.000000
1040.644079,105.000000
1040.665977,106.000000
1040.687842,107.000000
1040.709669,108.000000
1040.731452,109.000000
1040.753188,110.000000
1040.774872,111.000000
1040.796499,112.000000
1040.818065,113.000000
1040.839566,114.000000
1040.860996,115.000000
1040.882352,116.000000
1040.903628,117.000000
1040.924821,118.000000
1040.945925,119.000000
1040.966937,120.000000
1040.987851,121.000000
1041.008663,122.000000
1041.029369,123.000000
1041.049963,124.000000
1041.070443,125.000000
1041.090802,126.000000
1041.111036,127.000000
1041.131142,128.000000
1041.151113,129.000000
1041.170947,130.000000
1041.190638,131.000000
1041.210181,132.000000
1041.229573,133.000000
1041.248808,134.000000
1041.267882,135.000000
1041.286792,136.000000
1041.305531,137.000000
1041.324095,138.000000
1041.342481,139.000000
1041.360683,140.000000
1041.378697,141.000000
1041.396518,142.000000
1041.414143,143.000000
1041.431565,144.000000
1041.448781,145.000000
1041.465787,146.000000
1041.482577,147.000000
1041.499148,148.000000
1041.515494,149.000000
1041.531611,150.000000
1041.547494,151.000000
1041.563140,152.000000
1041.578544,153.000000
1041.593700,154.000000
1041.608604,155.000000
1041.623253,156.000000
1041.637641,157.000000
1041.651764,158.000000
1041.665617,159.000000
1041.679195,160.000000
1041.692495,161.000000
1041.705512,162.000000
1041.718241,163.000000
1041.730677,164.000000
1041.742817,165.000000
1041.754655,166.000000
1041.766187,167.000000
1041.777409,168.000000
1041.788315,169.000000
1041.798902,170.000000
1041.809165,171.000000
1041.819099,172.000000
1041.828700,173.000000
1041.837963,174.000000
1041.846884,175.000000
1041.855458,176.000000
1041.863681,177.000000
1041.871548,178.000000
1041.879054,179.000000
1041.886196,180.000000
1041.892968,181.000000
1041.899366,182.000000
1041.905386,183.000000
1041.911022,184.000000
1041.916271,185.000000
1041.921128,186.000000
1041.925588,187.000000
1041.929647,188.000000
1041.933300,189.000000
1041.936543,190.000000
1041.939371,191.000000
1041.941779,192.000000
1041.943764,193.000000
1041.945320,194.000000
1041.946444,195.000000
1041.947129,196.000000
1041.947373,197.000000
1041.947170,198.000000
1041.946517,199.000000
1041.945407,200.000000
1041.943837,201.000000
1041.941803,202.000000
1041.939299,203.000000
1041.936322,204.000000
1041.932866,205.000000
1041.928928,206.000000
1041.924502,207.000000
1041.919584,208.000000
1041.914170,209.000000
1041.908255,210.000000
1041.901834,211.000000
1041.894903,212.000000
1041.887458,213.000000
1041.879493,214.000000
1041.871005,215.000000
1041.861988,216.000000
1041.852439,217.000000
1041.842353,218.000000
1041.831725,219.000000
1041.820550,220.000000
1041.808825,221.000000
1041.796544,222.000000
1041.783704,223.000000
1041.770298,224.000000
1041.756324,225.000000
1041.741777,226.000000
1041.726651,227.000000
1041.710942,228.000000
1041.694647,229.000000
1041.677760,230.000000
1041.660276,231.000000
1041.642192,232.000000
1041.623503,233.000000
1041.604203,234.000000
1041.584290,235.000000
1041.563757,236.000000
1041.542601,237.000000
1041.520818,238.000000
1041.498401,239.000000
1041.475348,240.000000
1041.451653,241.000000
1041.427312,242.000000
1041.402320,243.000000
1041.376673,244.000000
1041.350367,245.000000
1041.323396,246.000000
1041.295757,247.000000
1041.267444,248.000000
1041.238453,249.000000
1041.208780,250.000000
1041.178420,251.000000
1041.147369,252.000000
1041.115621,253.000000
1041.083174,254.000000
1041.050021,255.000000
1041.016158,256.000000
1040.981581,257.000000
1040.946286,258.000000
1040.910268,259.000000
1040.873522,260.000000
1040.836043,261.000000
1040.797828,262.000000
1040.758871,263.000000
1040.719169,264.000000
1040.678716,265.000000
1040.637509,266.000000
1040.595541,267.000000
1040.552810,268.000000
1040.509310,269.000000
1040.465038,270.000000
1040.419987,271.000000
1040.374155,272.000000
1040.327536,273.000000
1040.280125,274.000000
1040.231919,275.000000
1040.182913,276.000000
1040.133101,277.000000
1040.082481,278.000000
1040.031046,279.000000
1039.978794,280.000000
1039.925718,281.000000
1039.871815,282.000000
1039.817079,283.000000
1039.761507,284.000000
1039.705094,285.000000
1039.647836,286.000000
1039.589727,287.000000
1039.530764,288.000000
1039.470941,289.000000
