x_px,y_px
998.439468,0.000000
998.439459,1.000000
998.439428,2.000000
998.439371,3.000000
998.439283,4.000000
998.439158,5.000000
998.438994,6.000000
998.438784,7.000000
998.438524,8.000000
998.438210,9.000000
998.437837,10.000000
998.437399,11.000000
998.436893,12.000000
998.436313,13.000000
998.435655,14.000000
998.434915,15.000000
998.434087,16.000000
998.433167,17.000000
998.432150,18.000000
998.431031,19.000000
998.429806,20.000000
998.428470,21.000000
998.427018,22.000000
998.425446,23.000000
998.423749,24.000000
998.421922,25.000000
998.419960,26.000000
998.417859,27.000000
998.415614,28.000000
998.413221,29.000000
998.410674,30.000000
998.407970,31.000000
998.405102,32.000000
998.402067,33.000000
998.398860,34.000000
998.395476,35.000000
998.391911,36.000000
998.388159,37.000000
998.384216,38.000000
998.380078,39.000000
998.375739,40.000000
998.371195,41.000000
998.366442,42.000000
998.361474,43.000000
998.356287,44.000000
998.350876,45.000000
998.345236,46.000000
998.339363,47.000000
998.333252,48.000000
998.326899,49.000000
998.320298,50.000000
998.313445,51.000000
998.306335,52.000000
998.298964,53.000000
998.291327,54.000000
998.283418,55.000000
998.275234,56.000000
998.266770,57.000000
998.258021,58.000000
998.248982,59.000000
998.239649,60.000000
998.230016,61.000000
998.220080,62.000000
998.209835,63.000000
998.199277,64.000000
998.188401,65.000000
998.177203,66.000000
998.165677,67.000000
998.153819,68.000000
998.141624,69.000000
998.129088,70.000000
998.116206,71.000000
998.102973,72.000000
998.089384,73.000000
998.075436,74.000000
998.061122,75.000000
998.046439,76.000000
998.031381,77.000000
998.015944,78.000000
998.000123,79.000000
997.983915,80.000000
997.967312,81.000000
997.950312,82.000000
997.932910,83.000000
997.915100,84.000000
997.896878,85.000000
997.878240,86.000000
997.859180,87.000000
997.839694,88.000000
997.819777,89.000000
997.799425,90.000000
997.778633,91.000000
997.757396,92.000000
997.735709,93.000000
997.713568,94.000000
997.690968,95.000000
997.667904,96.000000
997.644372,97.000000
997.620366,98.000000
997.595883,99.000000
997.570918,100.000000
997.545465,101.000000
997.519520,102.000000
997.493079,103.000000
997.466136,104.000000
997.438688,105.000000
997.410728,106.000000
997.382254,107.000000
997.353259,108.000000
997.323739,109.000000
997.293690,110.000000
997.263106,111.000000
997.231984,112.000000
997.200318,113.000000
997.168103,114.000000
997.135336,115.000000
997.102011,116.000000
997.068123,117.000000
997.033668,118.000000
996.998642,119.000000
996.963039,120.000000
996.926854,121.000000
996.890084,122.000000
996.852723,123.000000
996.814766,124.000000
996.776210,125.000000
996.737049,126.000000
996.697278,127.000000
996.656893,128.000000
996.615889,129.000000
996.574262,130.000000
996.532007,131.000000
996.489118,132.000000
996.445592,133.000000
996.401423,134.000000
996.356607,135.000000
996.311140,136.000000
996.265016,137.000000
996.218231,138.000000
996.170780,139.000000
996.122658,140.000000
996.073861,141.000000
996.024384,142.000000
995.974222,143.000000
995.923371,144.000000
995.871826,145.000000
995.819582,146.000000
995.766634,147.000000
995.712978,148.000000
995.658610,149.000000
995.603523,150.000000
995.547714,151.000000
995.491179,152.000000
995.433911,153.000000
995.375907,154.000000
995.317162,155.000000
995.257672,156.000000
995.197430,157.000000
995.136434,158.000000
995.074677,159.000000
995.012156,160.000000
994.948865,161.000000
994.884801,162.000000
994.819957,163.000000
994.754330,164.000000
994.687915,165.000000
994.620707,166.000000
994.552702,167.000000
994.483894,168.000000
994.414280,169.000000
994.343853,170.000000
994.272611,171.000000
994.200547,172.000000
994.127657,173.000000
994.053937,174.000000
993.979382,175.000000
993.903987,176.000000
993.827747,177.000000
993.750658,178.000000
993.672715,179.000000
993.593913,180.000000
993.514248,181.000000
993.433715,182.000000
993.352309,183.000000
993.270025,184.000000
993.186859,185.000000
993.102807,186.000000
993.017863,187.000000
992.932022,188.000000
992.845280,189.000000
992.757633,190.000000
992.669075,191.000000
992.579602,192.000000
992.489210,193.000000
992.397892,194.000000
992.305646,195.000000
992.212465,196.000000
992.118346,197.000000
992.023284,198.000000
991.927274,199.000000
991.830310,200.000000
991.732390,201.000000
991.633507,202.000000
